Iteration,tanh_1_3,sigmoid_1_3,relu_1_3
0,0.43238663152549245,0.628571086675767,0.5602738991587373
1000,0.06894653811984065,0.08843081316084378,0.07217909276640111
2000,0.06888092887567417,0.07959836991729226,0.07130087259996486
3000,0.07075196886874674,0.07860435927433038,0.07115897836183675
4000,0.07074835317355822,0.07833016371418643,0.07119008678676615
5000,0.07075120980237887,0.07823256138967137,0.07113566141441223
6000,0.07075407266827545,0.07819235203779745,0.07127561995070443
7000,0.07075605743819156,0.07817422993906409,0.07108951290366043
8000,0.07075727376271726,0.07816555031131066,0.07126513429796076
9000,0.07075795674870138,0.0781611853371566,0.07108447413232437
10000,0.0707583003517578,0.07815888582419159,0.07109034879152108
11000,0.07075843947747848,0.07815761278382871,0.07108702944004011
12000,0.07075846172419761,0.07815686807194848,0.07108583569746084
13000,0.07075842167626457,0.07815640566483038,0.07106946929651355
14000,0.07075835220136718,0.07815610075608903,0.07111446984890182
15000,0.07075827237210332,0.07815588825060338,0.0710738844278267
16000,0.07075819272754191,0.07815573309127671,0.07111320022711266
17000,0.07075811865760902,0.07815561564798322,0.07107115662026675
18000,0.0707580525302668,0.07815552439989919,0.07109009480247823
19000,0.07075799500262445,0.0781554522121337,0.07121858185925323
